timestamps,TP9,AF7,AF8,TP10
1742116384.825,848.633,40.527,49.316,878.418
1742116384.829,999.512,-3.906,45.898,999.512
1742116384.833,919.434,-5.859,35.645,928.711
1742116384.837,943.359,-6.348,35.156,947.754
1742116384.841,964.355,3.418,46.387,955.078
1742116384.845,999.512,31.738,41.016,999.512
1742116384.849,-306.152,8.789,30.273,-212.891
1742116384.852,-1000.000,1.465,26.367,-1000.000
1742116384.856,-932.617,29.785,13.184,-944.336
1742116384.860,-1000.000,30.273,-8.789,-1000.000
1742116384.864,-984.863,40.527,-15.137,-981.445
1742116384.868,-965.332,46.875,-13.672,-976.074
1742116384.871,-1000.000,48.828,-18.555,-1000.000
1742116384.875,0.488,87.402,-20.508,58.594
1742116384.879,999.512,87.402,-20.996,999.512
1742116384.883,926.758,66.895,-27.344,925.781
1742116384.887,971.191,65.918,-24.414,971.680
1742116384.891,902.344,62.012,-11.230,909.668
1742116384.895,999.512,55.176,0.000,999.512
1742116384.898,735.840,28.320,7.324,735.352
1742116384.902,-739.258,14.648,6.836,-701.660
1742116384.906,-1000.000,33.691,6.836,-1000.000
1742116384.910,-873.535,25.391,8.301,-873.535
1742116384.914,-1000.000,25.879,6.836,-1000.000
1742116384.871,-1000.000,48.828,-18.555,-1000.000
1742116384.875,0.488,87.402,-20.508,58.594
1742116384.879,999.512,87.402,-20.996,999.512
1742116384.883,926.758,66.895,-27.344,925.781
1742116384.887,971.191,65.918,-24.414,971.680
1742116384.891,902.344,62.012,-11.230,909.668
1742116384.895,999.512,55.176,0.000,999.512
1742116384.898,735.840,28.320,7.324,735.352
1742116384.902,-739.258,14.648,6.836,-701.660
1742116384.906,-1000.000,33.691,6.836,-1000.000
1742116384.910,-873.535,25.391,8.301,-873.535
1742116384.914,-1000.000,25.879,6.836,-1000.000
1742116384.931,-891.113,37.598,15.625,-872.559
1742116384.935,563.965,51.270,24.414,586.426
1742116384.939,999.512,26.855,20.508,999.512
1742116384.943,891.602,20.020,20.996,894.043
1742116384.947,997.559,33.691,22.461,992.676
1742116384.951,894.043,29.785,12.207,903.320
1742116384.955,999.512,19.531,5.859,999.512
1742116384.958,575.195,8.301,9.766,496.094
1742116384.962,-881.348,-14.648,7.324,-893.066
1742116384.966,-1000.000,-5.859,-0.488,-1000.000
1742116384.970,-936.035,5.371,5.371,-952.148
1742116384.974,-1000.000,10.254,14.648,-1000.000
1742116384.931,-891.113,37.598,15.625,-872.559
1742116384.935,563.965,51.270,24.414,586.426
1742116384.939,999.512,26.855,20.508,999.512
1742116384.943,891.602,20.020,20.996,894.043
1742116384.947,997.559,33.691,22.461,992.676
1742116384.951,894.043,29.785,12.207,903.320
1742116384.955,999.512,19.531,5.859,999.512
1742116384.958,575.195,8.301,9.766,496.094
1742116384.962,-881.348,-14.648,7.324,-893.066
1742116384.966,-1000.000,-5.859,-0.488,-1000.000
1742116384.970,-936.035,5.371,5.371,-952.148
1742116384.974,-1000.000,10.254,14.648,-1000.000
1742116384.975,249.512,41.016,16.113,288.086
1742116384.979,999.512,32.715,16.602,999.512
1742116384.983,909.668,2.930,22.949,912.598
1742116384.987,935.059,-13.184,23.926,934.570
1742116384.991,966.797,-10.254,12.695,972.168
1742116384.995,999.512,8.301,10.742,986.816
1742116384.999,-320.801,-27.344,2.930,-333.984
1742116385.002,-1000.000,-35.156,-3.906,-1000.000
1742116385.006,-931.641,-3.418,-2.930,-933.594
1742116385.010,-1000.000,-4.395,-7.324,-1000.000
1742116385.014,-959.961,3.418,-12.207,-963.379
1742116385.018,-1000.000,9.277,-11.719,-1000.000
1742116384.975,249.512,41.016,16.113,288.086
1742116384.979,999.512,32.715,16.602,999.512
1742116384.983,909.668,2.930,22.949,912.598
1742116384.987,935.059,-13.184,23.926,934.570
1742116384.991,966.797,-10.254,12.695,972.168
1742116384.995,999.512,8.301,10.742,986.816
1742116384.999,-320.801,-27.344,2.930,-333.984
1742116385.002,-1000.000,-35.156,-3.906,-1000.000
1742116385.006,-931.641,-3.418,-2.930,-933.594
1742116385.010,-1000.000,-4.395,-7.324,-1000.000
1742116385.014,-959.961,3.418,-12.207,-963.379
1742116385.018,-1000.000,9.277,-11.719,-1000.000
1742116385.021,-1000.000,-6.348,-14.648,-1000.000
1742116385.025,348.633,20.508,-14.648,312.500
1742116385.029,999.512,19.043,-3.906,999.512
1742116385.033,895.020,-17.578,2.441,898.926
1742116385.037,977.051,-1.465,3.906,976.562
1742116385.041,962.402,5.859,8.789,963.379
1742116385.045,914.551,-13.184,12.695,918.945
1742116385.048,999.512,-18.066,10.254,999.512
1742116385.052,168.457,-39.551,4.395,199.707
1742116385.056,-1000.000,-52.246,1.465,-1000.000
1742116385.060,-951.660,-51.758,-2.441,-958.496
1742116385.064,-979.980,-61.523,-3.906,-985.352
1742116385.021,-1000.000,-6.348,-14.648,-1000.000
1742116385.025,348.633,20.508,-14.648,312.500
1742116385.029,999.512,19.043,-3.906,999.512
1742116385.033,895.020,-17.578,2.441,898.926
1742116385.037,977.051,-1.465,3.906,976.562
1742116385.041,962.402,5.859,8.789,963.379
1742116385.045,914.551,-13.184,12.695,918.945
1742116385.048,999.512,-18.066,10.254,999.512
1742116385.052,168.457,-39.551,4.395,199.707
1742116385.056,-1000.000,-52.246,1.465,-1000.000
1742116385.060,-951.660,-51.758,-2.441,-958.496
1742116385.064,-979.980,-61.523,-3.906,-985.352
1742116385.066,-1000.000,-45.898,0.000,-1000.000
1742116385.070,325.684,-8.301,3.906,368.652
1742116385.074,999.512,-16.602,12.207,999.512
1742116385.078,895.996,-9.277,10.254,897.949
1742116385.082,984.375,9.766,-0.488,982.910
1742116385.086,896.973,29.785,-4.883,904.785
1742116385.090,999.512,40.039,-18.555,999.512
1742116385.093,448.242,13.184,-30.273,423.340
1742116385.097,-953.125,-14.160,-27.832,-940.430
1742116385.101,-985.840,-9.766,-16.602,-983.398
1742116385.105,-981.934,-12.207,-13.672,-990.723
1742116385.109,-973.145,1.953,-15.137,-950.195
1742116385.066,-1000.000,-45.898,0.000,-1000.000
1742116385.070,325.684,-8.301,3.906,368.652
1742116385.074,999.512,-16.602,12.207,999.512
1742116385.078,895.996,-9.277,10.254,897.949
1742116385.082,984.375,9.766,-0.488,982.910
1742116385.086,896.973,29.785,-4.883,904.785
1742116385.090,999.512,40.039,-18.555,999.512
1742116385.093,448.242,13.184,-30.273,423.340
1742116385.097,-953.125,-14.160,-27.832,-940.430
1742116385.101,-985.840,-9.766,-16.602,-983.398
1742116385.105,-981.934,-12.207,-13.672,-990.723
1742116385.109,-973.145,1.953,-15.137,-950.195
1742116385.111,450.195,53.711,-4.395,484.375
1742116385.115,999.512,41.992,-3.418,999.512
1742116385.119,894.043,0.488,-1.953,895.996
1742116385.123,979.004,3.906,2.441,977.051
1742116385.127,909.180,2.441,1.953,917.969
1742116385.131,999.512,13.184,-2.441,999.512
1742116385.135,238.770,-1.953,-3.418,201.172
1742116385.138,-1000.000,-43.457,-0.488,-1000.000
1742116385.142,-1000.000,-30.762,2.441,-999.512
1742116385.146,-983.398,-5.859,16.113,-984.863
1742116385.150,-953.125,0.977,33.203,-955.566
1742116385.154,-1000.000,-20.020,34.180,-1000.000
1742116385.156,-905.273,-9.766,27.344,-923.340
1742116385.160,541.992,14.160,37.109,511.230
1742116385.164,999.512,-57.617,43.945,999.512
1742116385.168,891.602,-123.047,37.598,891.602
1742116385.172,997.559,-135.254,36.133,996.094
1742116385.176,910.645,-117.676,39.062,915.527
1742116385.180,999.512,-106.934,34.180,994.141
1742116385.183,875.488,-108.398,25.879,879.883
1742116385.187,-569.336,-132.324,24.902,-527.344
1742116385.191,-1000.000,-111.328,27.832,-1000.000
1742116385.195,-867.676,-105.469,27.832,-869.629
1742116385.199,-1000.000,-123.047,20.508,-1000.000
1742116385.156,-905.273,-9.766,27.344,-923.340
1742116385.160,541.992,14.160,37.109,511.230
1742116385.164,999.512,-57.617,43.945,999.512
1742116385.168,891.602,-123.047,37.598,891.602
1742116385.172,997.559,-135.254,36.133,996.094
1742116385.176,910.645,-117.676,39.062,915.527
1742116385.180,999.512,-106.934,34.180,994.141
1742116385.183,875.488,-108.398,25.879,879.883
1742116385.187,-569.336,-132.324,24.902,-527.344
1742116385.191,-1000.000,-111.328,27.832,-1000.000
1742116385.195,-867.676,-105.469,27.832,-869.629
1742116385.199,-1000.000,-123.047,20.508,-1000.000
1742116385.200,-891.113,-101.074,17.578,-884.766
1742116385.204,563.965,-68.848,18.066,569.824
1742116385.208,999.512,-84.961,19.531,999.512
1742116385.212,893.555,-98.633,18.555,896.484
1742116385.216,980.469,-90.332,13.184,975.098
1742116385.220,911.621,-97.656,8.301,924.805
1742116385.224,999.512,-105.469,0.488,999.512
1742116385.227,205.078,-113.770,-1.465,128.906
1742116385.231,-1000.000,-128.418,-1.465,-1000.000
1742116385.235,-994.629,-142.090,-3.906,-986.816
1742116385.239,-914.062,-174.805,-4.395,-925.293
1742116385.243,-1000.000,-170.410,-0.977,-1000.000
1742116385.200,-891.113,-101.074,17.578,-884.766
1742116385.204,563.965,-68.848,18.066,569.824
1742116385.208,999.512,-84.961,19.531,999.512
1742116385.212,893.555,-98.633,18.555,896.484
1742116385.216,980.469,-90.332,13.184,975.098
1742116385.220,911.621,-97.656,8.301,924.805
1742116385.224,999.512,-105.469,0.488,999.512
1742116385.227,205.078,-113.770,-1.465,128.906
1742116385.231,-1000.000,-128.418,-1.465,-1000.000
1742116385.235,-994.629,-142.090,-3.906,-986.816
