timestamps,TP9,AF7,AF8,TP10
1741598995.295,-262.695,-76.660,-81.055,-246.582
1741598995.299,999.512,-62.988,-69.824,999.512
1741598995.303,895.508,-56.152,-43.945,916.016
1741598995.307,999.512,-60.547,-32.227,999.512
1741598995.311,168.457,-96.191,-48.828,5.371
1741598995.315,-1000.000,75.684,-46.875,-1000.000
1741598995.319,-917.480,227.051,-22.461,-906.738
1741598995.322,-1000.000,80.078,-7.812,-1000.000
1741598995.326,-227.051,-132.812,-13.184,-186.523
1741598995.330,999.512,-174.316,-30.762,999.512
1741598995.334,949.707,-96.191,-46.875,945.801
1741598995.338,939.453,-84.961,-34.180,945.312
1741598995.340,972.656,-93.262,-26.367,960.938
1741598995.344,905.273,-83.496,-36.621,928.223
1741598995.348,999.512,-71.777,-55.176,999.512
1741598995.352,156.738,-88.379,-68.359,0.000
1741598995.356,-1000.000,-66.406,-77.637,-1000.000
1741598995.360,-1000.000,-45.410,-88.379,-1000.000
1741598995.364,-400.879,-9.766,-83.496,-318.848
1741598995.367,959.473,-2.441,-55.176,994.629
1741598995.371,913.086,-95.215,-31.738,902.344
1741598995.375,999.512,-50.293,-48.340,999.512
1741598995.379,396.484,-16.602,-62.012,323.242
1741598995.383,-993.164,-60.059,-53.711,-1000.000
1741598995.340,972.656,-93.262,-26.367,960.938
1741598995.344,905.273,-83.496,-36.621,928.223
1741598995.348,999.512,-71.777,-55.176,999.512
1741598995.352,156.738,-88.379,-68.359,0.000
1741598995.356,-1000.000,-66.406,-77.637,-1000.000
1741598995.360,-1000.000,-45.410,-88.379,-1000.000
1741598995.364,-400.879,-9.766,-83.496,-318.848
1741598995.367,959.473,-2.441,-55.176,994.629
1741598995.371,913.086,-95.215,-31.738,902.344
1741598995.375,999.512,-50.293,-48.340,999.512
1741598995.379,396.484,-16.602,-62.012,323.242
1741598995.383,-993.164,-60.059,-53.711,-1000.000
1741598995.386,-1000.000,-41.504,-57.129,-1000.000
1741598995.390,-957.031,-25.879,-59.570,-962.891
1741598995.394,-1000.000,-25.391,-81.543,-1000.000
1741598995.398,-1000.000,-86.426,37.109,-1000.000
1741598995.402,-1000.000,-99.609,323.730,-1000.000
1741598995.406,-1000.000,21.484,403.320,-1000.000
1741598995.410,-937.500,-11.230,319.336,-940.430
1741598995.413,-1000.000,84.473,270.508,-1000.000
1741598995.417,-219.238,226.562,205.078,-204.102
1741598995.421,999.512,26.855,139.648,999.512
1741598995.425,901.855,-64.941,120.117,936.523
1741598995.429,999.512,-44.922,83.008,974.609
1741598995.430,21.484,-99.609,46.875,-188.965
1741598995.434,-1000.000,-95.215,47.852,-1000.000
1741598995.438,-1000.000,-70.801,35.645,-1000.000
1741598995.442,-787.109,-14.160,55.176,-682.617
1741598995.446,614.746,32.715,73.242,722.168
1741598995.450,999.512,-5.859,62.012,999.512
1741598995.454,898.926,-57.129,55.176,897.461
1741598995.457,919.922,126.465,39.062,937.988
1741598995.461,999.512,184.570,25.391,999.512
1741598995.465,148.438,-57.129,16.113,22.949
1741598995.469,-1000.000,-73.242,19.531,-1000.000
1741598995.473,-933.105,-39.551,3.418,-964.844
1741598995.475,-1000.000,-47.363,8.301,-990.723
1741598995.479,-48.340,-47.852,17.578,204.102
1741598995.483,999.512,-54.199,-21.973,999.512
1741598995.487,926.270,-55.176,-32.227,914.551
1741598995.491,952.637,-60.059,-41.504,964.355
1741598995.495,969.727,-93.262,-50.781,971.680
1741598995.499,903.320,13.184,-44.922,901.367
1741598995.502,999.512,166.992,-38.574,999.512
1741598995.506,174.805,18.555,-25.391,229.004
1741598995.510,-1000.000,-134.766,-40.039,-986.816
1741598995.514,-1000.000,28.809,-29.297,-1000.000
1741598995.518,-904.785,105.957,-15.137,-600.586
1741598995.475,-1000.000,-47.363,8.301,-990.723
1741598995.479,-48.340,-47.852,17.578,204.102
1741598995.483,999.512,-54.199,-21.973,999.512
1741598995.487,926.270,-55.176,-32.227,914.551
1741598995.491,952.637,-60.059,-41.504,964.355
1741598995.495,969.727,-93.262,-50.781,971.680
1741598995.499,903.320,13.184,-44.922,901.367
1741598995.502,999.512,166.992,-38.574,999.512
1741598995.506,174.805,18.555,-25.391,229.004
1741598995.510,-1000.000,-134.766,-40.039,-986.816
1741598995.514,-1000.000,28.809,-29.297,-1000.000
1741598995.518,-904.785,105.957,-15.137,-600.586
1741598995.520,427.246,-60.547,-44.434,751.953
1741598995.524,999.512,-71.289,-26.367,999.512
1741598995.528,899.414,-62.012,-17.578,912.109
1741598995.532,985.352,-70.801,-34.180,987.793
1741598995.536,925.781,-78.613,-40.039,930.176
1741598995.540,982.910,-94.727,-67.383,979.004
1741598995.544,939.941,-36.133,-62.988,937.500
1741598995.547,-395.508,-71.289,-45.410,-363.770
1741598995.551,-1000.000,-109.375,-52.734,-1000.000
1741598995.555,-897.949,-97.168,-52.734,-960.938
1741598995.559,-1000.000,-103.027,-51.270,-919.434
1741598995.563,51.270,-71.289,-38.574,368.164
1741598995.520,427.246,-60.547,-44.434,751.953
1741598995.524,999.512,-71.289,-26.367,999.512
1741598995.528,899.414,-62.012,-17.578,912.109
1741598995.532,985.352,-70.801,-34.180,987.793
1741598995.536,925.781,-78.613,-40.039,930.176
1741598995.540,982.910,-94.727,-67.383,979.004
1741598995.544,939.941,-36.133,-62.988,937.500
1741598995.547,-395.508,-71.289,-45.410,-363.770
