timestamps,TP9,AF7,AF8,TP10
1743154110.254,979.492,-81.543,-45.898,978.516
1743154110.258,915.039,-75.195,-37.598,917.969
1743154110.262,999.512,-71.777,-44.434,999.512
1743154110.266,848.145,-91.309,-65.430,828.125
1743154110.270,-540.039,-145.508,-54.688,-532.227
1743154110.274,-1000.000,-102.539,-32.227,-1000.000
1743154110.278,-933.594,-56.641,-22.461,-937.500
1743154110.281,-1000.000,-71.777,-23.926,-1000.000
1743154110.285,-1000.000,-99.121,-38.574,-1000.000
1743154110.289,-935.547,-107.422,-40.527,-934.570
1743154110.293,-1000.000,-97.168,-32.227,-1000.000
1743154110.297,-254.395,-36.133,-38.086,-270.996
1743154110.299,999.512,-20.508,-49.805,999.512
1743154110.303,955.566,-89.355,-53.223,958.984
1743154110.307,936.523,-105.469,-65.430,935.547
1743154110.311,975.586,-97.656,-72.754,978.027
1743154110.315,956.543,-100.586,-70.801,954.102
1743154110.319,918.945,-84.961,-62.988,927.734
1743154110.323,999.512,-84.473,-59.570,999.512
1743154110.326,20.996,-155.273,-68.359,-18.066
1743154110.330,-1000.000,-129.395,-62.500,-1000.000
1743154110.334,-961.914,-80.566,-60.547,-961.426
1743154110.338,-985.352,-82.031,-60.547,-986.816
1743154110.342,-1000.000,-75.195,-49.316,-1000.000
1743154110.299,999.512,-20.508,-49.805,999.512
1743154110.303,955.566,-89.355,-53.223,958.984
1743154110.307,936.523,-105.469,-65.430,935.547
1743154110.311,975.586,-97.656,-72.754,978.027
1743154110.315,956.543,-100.586,-70.801,954.102
1743154110.319,918.945,-84.961,-62.988,927.734
1743154110.323,999.512,-84.473,-59.570,999.512
1743154110.326,20.996,-155.273,-68.359,-18.066
1743154110.330,-1000.000,-129.395,-62.500,-1000.000
1743154110.334,-961.914,-80.566,-60.547,-961.426
1743154110.338,-985.352,-82.031,-60.547,-986.816
1743154110.342,-1000.000,-75.195,-49.316,-1000.000
1743154110.299,999.512,-20.508,-49.805,999.512
1743154110.303,955.566,-89.355,-53.223,958.984
1743154110.307,936.523,-105.469,-65.430,935.547
1743154110.311,975.586,-97.656,-72.754,978.027
1743154110.315,956.543,-100.586,-70.801,954.102
1743154110.319,918.945,-84.961,-62.988,927.734
1743154110.323,999.512,-84.473,-59.570,999.512
1743154110.326,20.996,-155.273,-68.359,-18.066
1743154110.330,-1000.000,-129.395,-62.500,-1000.000
1743154110.334,-961.914,-80.566,-60.547,-961.426
1743154110.338,-985.352,-82.031,-60.547,-986.816
1743154110.342,-1000.000,-75.195,-49.316,-1000.000
1743154110.344,-928.223,-99.121,-54.688,-929.688
1743154110.348,-1000.000,-112.793,-52.246,-1000.000
1743154110.352,-408.691,-47.852,-29.297,-385.742
1743154110.356,963.867,-10.254,-31.250,970.703
1743154110.360,982.422,-76.660,-39.062,979.492
1743154110.364,923.828,-81.543,-25.391,926.270
1743154110.368,978.516,-68.359,-28.320,979.980
1743154110.371,965.820,-97.656,-43.945,960.938
1743154110.375,904.785,-125.000,-49.316,916.016
1743154110.379,999.512,-103.516,-50.781,999.512
1743154110.383,168.945,-139.160,-49.805,82.520
1743154110.387,-1000.000,-168.945,-53.711,-1000.000
1743154110.344,-928.223,-99.121,-54.688,-929.688
1743154110.348,-1000.000,-112.793,-52.246,-1000.000
1743154110.352,-408.691,-47.852,-29.297,-385.742
1743154110.356,963.867,-10.254,-31.250,970.703
1743154110.360,982.422,-76.660,-39.062,979.492
1743154110.364,923.828,-81.543,-25.391,926.270
1743154110.368,978.516,-68.359,-28.320,979.980
1743154110.371,965.820,-97.656,-43.945,960.938
1743154110.375,904.785,-125.000,-49.316,916.016
1743154110.379,999.512,-103.516,-50.781,999.512
1743154110.383,168.945,-139.160,-49.805,82.520
1743154110.387,-1000.000,-168.945,-53.711,-1000.000
1743154110.344,-928.223,-99.121,-54.688,-929.688
1743154110.348,-1000.000,-112.793,-52.246,-1000.000
1743154110.352,-408.691,-47.852,-29.297,-385.742
1743154110.356,963.867,-10.254,-31.250,970.703
1743154110.360,982.422,-76.660,-39.062,979.492
