timestamps,TP9,AF7,AF8,TP10
1741775488.189,-930.664,4.395,-7.324,-934.082
1741775488.193,-1000.000,-26.367,-34.180,-1000.000
1741775488.197,-669.922,-11.230,-28.809,-664.062
1741775488.201,775.391,-6.836,-15.137,756.836
1741775488.205,999.512,-10.254,-10.254,999.512
1741775488.209,905.273,39.551,19.043,908.203
1741775488.213,981.934,34.668,28.320,980.957
1741775488.216,966.309,10.742,4.883,966.797
1741775488.220,966.309,10.254,-8.301,966.797
1741775488.224,966.309,-16.602,-35.156,967.285
1741775488.228,966.309,-24.414,-32.715,966.797
1741775488.232,966.309,-16.602,-23.926,967.285
1741775488.234,966.797,-2.441,-27.344,967.285
1741775488.238,903.320,-4.883,-18.555,905.273
1741775488.242,999.512,-4.883,-18.066,999.512
1741775488.246,186.523,-15.625,-43.945,178.223
1741775488.250,-1000.000,-5.371,-47.852,-1000.000
1741775488.254,-983.887,-0.488,-41.016,-982.910
1741775488.258,-973.145,-25.879,-35.156,-973.633
1741775488.261,-1000.000,-14.648,-23.438,-1000.000
1741775488.265,-1000.000,-32.715,-25.879,-1000.000
1741775488.269,-1000.000,-45.410,-24.902,-1000.000
1741775488.273,-1000.000,-11.719,-14.160,-1000.000
1741775488.277,-1000.000,-1.953,-13.184,-1000.000
1741775488.234,966.797,-2.441,-27.344,967.285
1741775488.238,903.320,-4.883,-18.555,905.273
1741775488.242,999.512,-4.883,-18.066,999.512
1741775488.246,186.523,-15.625,-43.945,178.223
1741775488.250,-1000.000,-5.371,-47.852,-1000.000
1741775488.254,-983.887,-0.488,-41.016,-982.910
1741775488.258,-973.145,-25.879,-35.156,-973.633
1741775488.261,-1000.000,-14.648,-23.438,-1000.000
1741775488.265,-1000.000,-32.715,-25.879,-1000.000
1741775488.269,-1000.000,-45.410,-24.902,-1000.000
1741775488.273,-1000.000,-11.719,-14.160,-1000.000
1741775488.277,-1000.000,-1.953,-13.184,-1000.000
1741775488.280,-1000.000,-16.113,-14.160,-1000.000
1741775488.284,-999.512,-21.484,-32.227,-996.582
1741775488.288,-939.941,0.488,-30.762,-944.336
1741775488.292,-1000.000,10.254,16.602,-1000.000
1741775488.296,-195.312,-0.977,1.953,-152.344
1741775488.300,999.512,-2.930,-37.109,999.512
1741775488.304,946.289,23.926,-11.719,941.895
1741775488.307,940.918,28.320,-3.418,944.336
1741775488.311,972.168,-7.812,-9.277,972.168
1741775488.315,966.309,-17.578,3.418,967.285
1741775488.319,966.309,-39.062,-14.160,966.797
1741775488.323,966.309,-36.133,-20.996,966.797
1741775488.280,-1000.000,-16.113,-14.160,-1000.000
1741775488.284,-999.512,-21.484,-32.227,-996.582
1741775488.288,-939.941,0.488,-30.762,-944.336
1741775488.292,-1000.000,10.254,16.602,-1000.000
1741775488.296,-195.312,-0.977,1.953,-152.344
1741775488.300,999.512,-2.930,-37.109,999.512
1741775488.304,946.289,23.926,-11.719,941.895
1741775488.307,940.918,28.320,-3.418,944.336
1741775488.311,972.168,-7.812,-9.277,972.168
1741775488.315,966.309,-17.578,3.418,967.285
1741775488.319,966.309,-39.062,-14.160,966.797
1741775488.323,966.309,-36.133,-20.996,966.797
1741775488.339,966.309,10.742,-18.555,966.797
1741775488.343,976.562,23.438,-29.297,977.051
1741775488.347,925.781,20.996,-3.418,924.316
1741775488.351,981.934,12.207,2.441,991.211
1741775488.355,943.359,-22.461,-29.297,907.227
1741775488.359,-389.648,-48.340,-19.531,-427.246
1741775488.363,-1000.000,-56.641,-7.324,-1000.000
1741775488.366,-934.570,-47.852,-20.020,-936.523
1741775488.370,-1000.000,-28.320,-29.785,-1000.000
1741775488.374,-1000.000,-24.414,-13.184,-1000.000
1741775488.378,-1000.000,0.977,-5.371,-1000.000
1741775488.382,-1000.000,41.016,-16.113,-1000.000
1741775488.339,966.309,10.742,-18.555,966.797
1741775488.343,976.562,23.438,-29.297,977.051
1741775488.347,925.781,20.996,-3.418,924.316
1741775488.351,981.934,12.207,2.441,991.211
1741775488.355,943.359,-22.461,-29.297,907.227
1741775488.359,-389.648,-48.340,-19.531,-427.246
1741775488.363,-1000.000,-56.641,-7.324,-1000.000
1741775488.366,-934.570,-47.852,-20.020,-936.523
1741775488.370,-1000.000,-28.320,-29.785,-1000.000
1741775488.374,-1000.000,-24.414,-13.184,-1000.000
1741775488.378,-1000.000,0.977,-5.371,-1000.000
1741775488.382,-1000.000,41.016,-16.113,-1000.000
1741775488.384,-1000.000,28.320,-20.020,-1000.000
1741775488.388,-1000.000,-13.184,-11.230,-1000.000
1741775488.392,-1000.000,-9.277,-4.883,-1000.000
1741775488.396,-928.711,-19.531,-15.625,-929.199
1741775488.400,-1000.000,-71.289,10.742,-1000.000
1741775488.404,-393.555,-10.742,7.324,-401.367
1741775488.408,971.191,32.715,-12.695,963.867
1741775488.411,979.492,-19.043,-17.090,982.422
1741775488.415,924.805,3.906,-25.879,925.293
1741775488.419,977.539,-2.441,-17.090,978.516
1741775488.423,966.309,-9.766,-20.996,966.797
1741775488.427,966.309,-1.465,-21.973,966.797
1741775488.384,-1000.000,28.320,-20.020,-1000.000
1741775488.388,-1000.000,-13.184,-11.230,-1000.000
1741775488.392,-1000.000,-9.277,-4.883,-1000.000
1741775488.396,-928.711,-19.531,-15.625,-929.199
1741775488.400,-1000.000,-71.289,10.742,-1000.000
1741775488.404,-393.555,-10.742,7.324,-401.367
1741775488.408,971.191,32.715,-12.695,963.867
1741775488.411,979.492,-19.043,-17.090,982.422
1741775488.415,924.805,3.906,-25.879,925.293
1741775488.419,977.539,-2.441,-17.090,978.516
1741775488.423,966.309,-9.766,-20.996,966.797
1741775488.427,966.309,-1.465,-21.973,966.797
1741775488.444,966.309,-37.109,0.977,966.797
1741775488.448,966.309,-35.156,-0.488,966.797
1741775488.452,966.309,5.859,-10.742,966.797
1741775488.456,980.957,11.230,5.371,979.980
1741775488.460,891.602,-0.977,-14.160,895.508
1741775488.464,999.512,12.695,-17.090,999.512
1741775488.468,524.902,-21.973,-22.949,517.578
1741775488.471,-915.527,-27.832,-32.227,-898.438
1741775488.475,-1000.000,4.395,-14.160,-1000.000
1741775488.479,-945.801,-28.809,-21.973,-947.754
1741775488.483,-1000.000,-26.367,-18.555,-1000.000
1741775488.487,-1000.000,-19.043,-28.809,-1000.000
1741775488.444,966.309,-37.109,0.977,966.797
1741775488.448,966.309,-35.156,-0.488,966.797
1741775488.452,966.309,5.859,-10.742,966.797
1741775488.456,980.957,11.230,5.371,979.980
1741775488.460,891.602,-0.977,-14.160,895.508
1741775488.464,999.512,12.695,-17.090,999.512
1741775488.468,524.902,-21.973,-22.949,517.578
1741775488.471,-915.527,-27.832,-32.227,-898.438
1741775488.475,-1000.000,4.395,-14.160,-1000.000
1741775488.479,-945.801,-28.809,-21.973,-947.754
1741775488.483,-1000.000,-26.367,-18.555,-1000.000
1741775488.487,-1000.000,-19.043,-28.809,-1000.000
1741775488.474,-1000.000,-49.316,-35.156,-1000.000
1741775488.478,-1000.000,-20.508,-1.953,-1000.000
1741775488.482,-1000.000,22.461,14.160,-1000.000
1741775488.486,-1000.000,0.488,-11.230,-1000.000
1741775488.490,-996.094,7.812,-34.668,-993.652
1741775488.494,-944.336,44.922,-22.949,-949.219
1741775488.498,-1000.000,11.230,-29.297,-1000.000
1741775488.501,-143.066,-11.719,-25.879,-109.863
1741775488.505,999.512,-11.230,-6.836,999.512
1741775488.509,938.965,-15.137,-8.301,937.012
1741775488.513,944.824,-17.090,-12.695,947.266
1741775488.517,971.191,-17.578,-39.062,971.680
