timestamps,TP9,AF7,AF8,TP10
1741691517.752,-1000.0,-218.262,-151.367,-97.168
1741691517.756,-322.266,-169.922,-125.977,133.301
1741691517.76,999.512,-184.082,-133.301,172.852
1741691517.764,-226.562,-205.566,-126.465,-52.734
1741691517.768,-370.117,-155.273,-71.777,123.047
1741691517.772,999.512,-134.766,-40.039,245.605
1741691517.776,-550.293,-151.855,-37.109,-31.25
1741691517.779,-635.742,-153.809,-28.32,117.188
1741691517.783,999.512,-130.859,-14.648,333.008
1741691517.787,492.188,-125.0,-9.277,141.113
1741691517.791,-918.945,-137.207,-31.25,-6.348
1741691517.795,-1000.0,-125.977,-52.246,55.664
1741691517.743,6.836,-240.234,-158.691,109.863
1741691517.747,999.512,-207.031,-170.41,149.902
1741691517.751,226.074,-240.723,-177.734,-43.457
1741691517.743,6.836,-240.234,-158.691,109.863
1741691517.747,999.512,-207.031,-170.41,149.902
1741691517.751,226.074,-240.723,-177.734,-43.457
1741691517.799,-16.602,-113.281,-60.059,196.777
1741691517.803,999.512,-111.328,-75.684,268.066
1741691517.807,-41.992,-119.141,-81.055,138.184
1741691517.811,-1000.0,-97.168,-85.938,46.387
1741691517.815,-399.414,-76.66,-73.73,223.633
1741691517.819,999.512,-65.43,-65.43,358.887
1741691517.823,122.559,-89.355,-59.57,118.652
1741691517.826,-1000.0,-125.0,-53.223,104.004
1741691517.83,604.004,-86.914,-54.199,348.633
1741691517.834,191.895,-85.449,-57.129,100.586
1741691517.838,-938.965,-79.59,-48.828,94.727
1741691517.842,553.711,-35.156,-23.926,380.859
1741691517.799,-16.602,-113.281,-60.059,196.777
1741691517.803,999.512,-111.328,-75.684,268.066
1741691517.807,-41.992,-119.141,-81.055,138.184
1741691517.811,-1000.0,-97.168,-85.938,46.387
1741691517.815,-399.414,-76.66,-73.73,223.633
1741691517.819,999.512,-65.43,-65.43,358.887
1741691517.823,122.559,-89.355,-59.57,118.652
1741691517.826,-1000.0,-125.0,-53.223,104.004
1741691517.83,604.004,-86.914,-54.199,348.633
1741691517.834,191.895,-85.449,-57.129,100.586
1741691517.838,-938.965,-79.59,-48.828,94.727
1741691517.842,553.711,-35.156,-23.926,380.859
1741691517.873,999.512,-28.32,-4.883,357.422
1741691517.877,162.109,-22.949,11.719,191.895
1741691517.881,-1000.0,-20.508,22.461,127.441
1741691517.885,-87.891,-13.184,37.598,371.582
1741691517.889,999.512,-19.531,46.875,362.305
1741691517.893,-510.254,-41.504,51.27,237.793
1741691517.897,-234.375,1.465,57.129,427.734
1741691517.9,509.277,7.812,26.855,269.043
1741691517.904,-1000.0,-45.41,11.719,-0.977
1741691517.908,-269.043,-38.086,28.32,291.504
1741691517.912,999.512,-25.879,39.062,414.062
1741691517.916,405.762,-28.32,34.18,198.73
1741691517.873,999.512,-28.32,-4.883,357.422
1741691517.877,162.109,-22.949,11.719,191.895
1741691517.881,-1000.0,-20.508,22.461,127.441
1741691517.885,-87.891,-13.184,37.598,371.582
1741691517.889,999.512,-19.531,46.875,362.305
1741691517.893,-510.254,-41.504,51.27,237.793
1741691517.897,-234.375,1.465,57.129,427.734
1741691517.9,509.277,7.812,26.855,269.043
1741691517.904,-1000.0,-45.41,11.719,-0.977
1741691517.908,-269.043,-38.086,28.32,291.504
1741691517.912,999.512,-25.879,39.062,414.062
1741691517.916,405.762,-28.32,34.18,198.73
1741691517.887,-990.234,-39.062,34.668,71.777
1741691517.891,-990.234,-24.414,49.316,208.984
1741691517.895,247.559,-0.977,58.594,336.914
1741691517.899,999.512,-5.859,70.801,380.859
1741691517.903,356.445,-36.133,49.805,234.375
1741691517.907,-1000.0,-46.387,29.785,70.312
1741691517.911,-786.133,-25.879,22.461,218.262
1741691517.914,848.145,-31.738,-12.207,292.969
1741691517.918,82.031,-76.172,-21.484,98.633
1741691517.922,-1000.0,-68.848,-22.461,145.996
1741691517.926,694.824,-35.645,-47.363,288.574
1741691517.93,13.184,-75.195,-51.27,9.766
1741691517.887,-990.234,-39.062,34.668,71.777
1741691517.891,-990.234,-24.414,49.316,208.984
1741691517.895,247.559,-0.977,58.594,336.914
1741691517.899,999.512,-5.859,70.801,380.859
1741691517.903,356.445,-36.133,49.805,234.375
1741691517.907,-1000.0,-46.387,29.785,70.312
1741691517.911,-786.133,-25.879,22.461,218.262
1741691517.914,848.145,-31.738,-12.207,292.969
1741691517.918,82.031,-76.172,-21.484,98.633
1741691517.922,-1000.0,-68.848,-22.461,145.996
1741691517.926,694.824,-35.645,-47.363,288.574
1741691517.93,13.184,-75.195,-51.27,9.766
1741691517.887,-990.234,-39.062,34.668,71.777
1741691517.891,-990.234,-24.414,49.316,208.984
1741691517.895,247.559,-0.977,58.594,336.914
1741691517.899,999.512,-5.859,70.801,380.859
1741691517.903,356.445,-36.133,49.805,234.375
1741691517.907,-1000.0,-46.387,29.785,70.312
1741691517.911,-786.133,-25.879,22.461,218.262
1741691517.914,848.145,-31.738,-12.207,292.969
1741691517.918,82.031,-76.172,-21.484,98.633
1741691517.922,-1000.0,-68.848,-22.461,145.996
1741691517.926,694.824,-35.645,-47.363,288.574
1741691517.93,13.184,-75.195,-51.27,9.766
1741691517.947,-928.223,-73.242,-25.391,63.477
1741691517.951,767.09,-60.547,-12.695,358.887
1741691517.955,929.199,-89.355,-37.598,208.496
1741691517.959,-660.156,-87.402,-52.734,-28.809
1741691517.963,-947.754,-84.961,-56.641,73.242
1741691517.967,510.254,-29.785,-53.223,245.117
