timestamps,TP9,AF7,AF8,TP10
1745823016.508,-660.645,8.301,-391.113,-669.434
1745823016.512,768.066,785.156,999.512,745.117
1745823016.516,997.07,33.691,261.719,999.512
1745823016.52,-415.527,-824.707,-1000.0,-375.977
1745823016.524,-1000.0,-480.957,-1000.0,-1000.0
1745823016.528,-858.887,46.387,-535.645,-864.258
1745823016.532,430.664,655.762,987.305,428.223
1745823016.535,999.512,57.617,414.551,999.512
1745823016.539,-141.113,-789.062,-972.656,-153.809
1745823016.543,-1000.0,-514.16,-1000.0,-1000.0
1745823016.547,-1000.0,-189.453,-794.434,-1000.0
1745823016.551,49.316,444.336,635.742,23.438
1745823016.747,-602.539,-569.824,-1000.0,-723.145
1745823016.751,-1000.0,-454.59,-1000.0,-1000.0
1745823016.755,-208.984,287.598,-1000.0,-229.492
1745823016.759,999.512,564.453,-1000.0,999.512
1745823016.763,964.355,-383.789,-1000.0,819.824
1745823016.767,-261.719,-526.367,-998.047,-458.984
1745823016.771,-1000.0,-429.199,-1000.0,-1000.0
1745823016.774,-432.129,156.738,-984.863,-386.23
1745823016.778,895.508,675.293,-973.633,947.266
1745823016.782,999.512,-193.359,-1000.0,985.84
1745823016.786,-88.379,-666.504,-974.121,-232.91
1745823016.79,-1000.0,-509.766,-1000.0,-1000.0
1745823020.633,-614.258,310.059,-616.211,-642.578
1745823020.637,758.301,866.211,594.727,717.773
1745823020.641,974.121,372.07,999.512,981.445
1745823020.645,999.512,66.895,927.246,999.512
1745823020.649,261.719,-12.695,970.215,235.352
1745823020.653,-1000.0,-10.254,965.82,-1000.0
1745823020.657,-161.133,609.375,973.633,-91.797
1745823020.66,999.512,401.855,943.359,999.512
1745823020.664,-117.188,-219.238,943.359,-187.5
1745823020.668,-1000.0,-72.754,912.109,-1000.0
1745823020.672,-1000.0,101.562,824.707,-1000.0
1745823020.676,-178.223,516.602,999.512,-168.945
1745823020.676,-178.223,516.602,999.512,-168.945
1745823021.997,-1000.0,114.258,-967.773,-1000.0
1745823022.001,-91.309,555.664,261.23,-105.957
1745823022.005,999.512,647.949,907.227,999.512
1745823022.009,224.609,-436.035,-553.223,225.586
1745823022.013,-1000.0,-607.91,-1000.0,-1000.0
1745823022.017,-1000.0,33.691,-889.16,-1000.0
1745823022.021,-45.898,626.465,265.137,-51.758
1745823022.024,999.512,298.34,987.793,999.512
1745823022.028,890.625,-844.727,-427.734,896.973
1745823022.032,999.512,-987.305,-1000.0,999.512
1745823022.036,-192.871,-1000.0,-1000.0,-202.637
1745823022.04,-462.402,-572.754,-259.766,-440.43
1745823024.757,-558.105,426.758,957.031,-516.602
