timestamps,TP9,AF7,AF8,TP10
1745820868.419,983.398,-16.113,25.391,999.512
1745820868.423,999.512,-20.508,15.625,947.266
1745820868.427,214.844,-121.094,-40.527,-105.957
1745820868.431,-1000.0,-182.129,-101.562,-1000.0
1745820868.435,-286.133,-88.867,-93.75,-190.918
1745820868.439,964.355,-69.824,-95.703,989.258
1745820868.443,999.512,-113.77,-92.285,999.512
1745820868.446,288.574,-165.039,-69.824,168.945
1745820868.45,-1000.0,-27.832,-43.945,-1000.0
1745820868.454,-813.965,98.145,-12.207,-513.184
1745820868.458,560.059,-37.109,-32.227,818.359
1745820868.462,999.512,-73.242,-54.199,999.512
1745820868.009,184.57,-76.66,-7.324,-87.891
1745820868.013,-1000.0,-88.867,10.254,-1000.0
1745820868.017,-630.371,-32.227,32.227,-388.672
1745820868.021,797.363,14.16,39.551,917.969
1745820868.025,999.512,-48.34,8.789,999.512
1745820868.028,994.141,-42.48,30.762,895.508
1745820868.032,-109.863,-43.457,40.527,-403.809
1745820868.036,-1000.0,-45.898,34.18,-1000.0
1745820868.04,-89.844,-60.547,53.711,294.434
1745820868.044,999.512,-96.68,-0.488,999.512
1745820868.009,184.57,-76.66,-7.324,-87.891
1745820868.013,-1000.0,-88.867,10.254,-1000.0
1745820868.017,-630.371,-32.227,32.227,-388.672
1745820868.021,797.363,14.16,39.551,917.969
1745820868.025,999.512,-48.34,8.789,999.512
1745820868.028,994.141,-42.48,30.762,895.508
1745820868.032,-109.863,-43.457,40.527,-403.809
1745820868.036,-1000.0,-45.898,34.18,-1000.0
1745820868.04,-89.844,-60.547,53.711,294.434
1745820868.044,999.512,-96.68,-0.488,999.512
1745820868.009,184.57,-76.66,-7.324,-87.891
1745820868.013,-1000.0,-88.867,10.254,-1000.0
1745820868.017,-630.371,-32.227,32.227,-388.672
1745820868.021,797.363,14.16,39.551,917.969
1745820868.025,999.512,-48.34,8.789,999.512
1745820868.028,994.141,-42.48,30.762,895.508
1745820868.032,-109.863,-43.457,40.527,-403.809
1745820868.036,-1000.0,-45.898,34.18,-1000.0
1745820868.04,-89.844,-60.547,53.711,294.434
1745820868.044,999.512,-96.68,-0.488,999.512
1745820868.044,248.535,-61.523,-35.645,131.836
1745820868.048,-1000.0,-14.16,-2.93,-1000.0
1745820868.052,-1000.0,-52.246,12.207,-755.371
1745820868.056,327.637,-67.871,33.203,650.879
1745820868.06,999.512,-70.312,1.953,992.188
1745820868.064,999.512,-63.965,-15.137,999.512
1745820868.068,260.742,-80.566,-3.906,203.125
1745820868.071,-1000.0,-131.348,-25.391,-1000.0
1745820868.075,-323.73,-16.602,-36.133,-188.965
1745820868.079,958.008,73.73,-30.762,999.512
1745820868.083,999.512,-50.293,-23.438,999.512
1745820868.087,217.285,-103.516,-49.805,189.941
1745820868.044,248.535,-61.523,-35.645,131.836
1745820868.048,-1000.0,-14.16,-2.93,-1000.0
1745820868.052,-1000.0,-52.246,12.207,-755.371
1745820868.056,327.637,-67.871,33.203,650.879
1745820868.06,999.512,-70.312,1.953,992.188
1745820868.064,999.512,-63.965,-15.137,999.512
1745820868.068,260.742,-80.566,-3.906,203.125
1745820868.071,-1000.0,-131.348,-25.391,-1000.0
1745820868.075,-323.73,-16.602,-36.133,-188.965
1745820868.079,958.008,73.73,-30.762,999.512
1745820868.083,999.512,-50.293,-23.438,999.512
1745820868.087,217.285,-103.516,-49.805,189.941
1745820868.092,-1000.0,-94.238,-33.691,-1000.0
1745820868.096,-345.703,-51.27,18.066,-252.93
1745820868.1,999.512,-77.148,-3.906,999.512
1745820868.104,316.895,-111.816,-20.996,151.855
1745820868.108,-988.281,-11.719,15.625,-1000.0
1745820868.112,-1000.0,2.93,42.969,-1000.0
1745820868.116,-245.117,-68.359,23.438,-178.711
1745820868.119,999.512,-66.406,-25.879,999.512
1745820868.123,169.922,-12.695,-50.293,86.914
1745820868.127,-1000.0,-74.707,-31.25,-1000.0
1745820868.131,-1000.0,-127.93,-9.766,-1000.0
1745820868.135,-266.602,-10.742,2.441,-238.77
1745820868.092,-1000.0,-94.238,-33.691,-1000.0
1745820868.096,-345.703,-51.27,18.066,-252.93
1745820868.1,999.512,-77.148,-3.906,999.512
1745820868.104,316.895,-111.816,-20.996,151.855
1745820868.108,-988.281,-11.719,15.625,-1000.0
1745820868.112,-1000.0,2.93,42.969,-1000.0
1745820868.116,-245.117,-68.359,23.438,-178.711
1745820868.119,999.512,-66.406,-25.879,999.512
1745820868.123,169.922,-12.695,-50.293,86.914
1745820868.127,-1000.0,-74.707,-31.25,-1000.0
1745820868.131,-1000.0,-127.93,-9.766,-1000.0
1745820868.135,-266.602,-10.742,2.441,-238.77
1745820868.134,999.512,31.738,4.883,999.512
1745820868.138,547.852,-104.98,-9.766,286.133
1745820868.142,-844.238,-120.117,-43.945,-983.887
1745820868.146,-1000.0,-68.359,-22.949,-1000.0
1745820868.15,-226.562,-39.551,16.113,-246.094
1745820868.154,999.512,-41.504,13.672,999.512
1745820868.158,778.32,-108.887,-22.461,411.133
1745820868.161,-553.223,-27.344,-47.363,-891.602
1745820868.165,-1000.0,177.246,-35.156,-1000.0
1745820868.169,-497.559,63.965,1.465,-408.691
1745820868.173,886.23,-67.383,-1.953,999.512
1745820868.177,999.512,-73.73,-39.551,618.652
1745820868.179,-281.738,-111.816,-28.32,-734.375
1745820868.183,-1000.0,-127.93,-6.836,-1000.0
1745820868.187,-547.852,-103.027,3.418,-466.309
1745820868.191,796.875,-70.312,-18.555,956.543
1745820868.195,999.512,-96.191,-78.125,825.684
1745820868.199,17.09,-113.281,-66.406,-489.258
1745820868.203,-1000.0,-103.027,-18.555,-1000.0
1745820868.206,-668.945,139.16,47.852,-535.156
1745820868.21,685.547,123.535,38.574,797.363
1745820868.214,999.512,-74.707,9.766,999.512
1745820868.218,145.02,-54.199,41.504,-17.09
1745820868.222,-1000.0,-67.383,-2.441,-1000.0
1745820868.239,-1000.0,-66.406,13.672,-1000.0
1745820868.243,30.273,-43.457,60.547,220.703
1745820868.247,999.512,-69.336,-21.973,999.512
1745820868.251,152.344,-111.328,-66.895,2.441
1745820868.255,-1000.0,-96.191,-14.16,-1000.0
1745820868.259,-1000.0,-87.402,-0.488,-1000.0
1745820868.263,-9.277,15.625,17.578,181.641
1745820868.266,999.512,63.965,25.391,999.512
1745820868.27,138.184,-72.266,5.371,-1.953
1745820868.274,-1000.0,-96.191,-23.438,-1000.0
1745820868.278,-1000.0,-60.547,-19.043,-1000.0
1745820868.282,-262.207,-40.039,29.785,-208.984
1745820868.239,-1000.0,-66.406,13.672,-1000.0
1745820868.243,30.273,-43.457,60.547,220.703
1745820868.247,999.512,-69.336,-21.973,999.512
1745820868.251,152.344,-111.328,-66.895,2.441
1745820868.255,-1000.0,-96.191,-14.16,-1000.0
1745820868.259,-1000.0,-87.402,-0.488,-1000.0
1745820868.263,-9.277,15.625,17.578,181.641
1745820868.266,999.512,63.965,25.391,999.512
1745820868.27,138.184,-72.266,5.371,-1.953
1745820868.274,-1000.0,-96.191,-23.438,-1000.0
1745820868.278,-1000.0,-60.547,-19.043,-1000.0
1745820868.282,-262.207,-40.039,29.785,-208.984
1745820868.239,-1000.0,-66.406,13.672,-1000.0
1745820868.243,30.273,-43.457,60.547,220.703
1745820868.247,999.512,-69.336,-21.973,999.512
1745820868.251,152.344,-111.328,-66.895,2.441
1745820868.255,-1000.0,-96.191,-14.16,-1000.0
1745820868.259,-1000.0,-87.402,-0.488,-1000.0
1745820868.263,-9.277,15.625,17.578,181.641
1745820868.266,999.512,63.965,25.391,999.512
1745820868.27,138.184,-72.266,5.371,-1.953
1745820868.274,-1000.0,-96.191,-23.438,-1000.0
1745820868.278,-1000.0,-60.547,-19.043,-1000.0
1745820868.282,-262.207,-40.039,29.785,-208.984
1745820868.284,999.512,-56.641,19.043,999.512
1745820868.288,270.02,-98.633,-34.18,135.254
1745820868.292,-1000.0,-75.684,-27.344,-1000.0
1745820868.296,-1000.0,-48.828,-3.418,-1000.0
1745820868.3,-227.539,-50.293,8.789,-254.883
1745820868.304,999.512,-17.578,31.738,999.512
1745820868.308,902.832,-29.785,-0.488,540.039
1745820868.311,-362.793,-85.449,-51.27,-777.832
1745820868.315,-1000.0,-98.633,-56.641,-1000.0
1745820868.319,-424.316,-15.625,-39.551,-337.891
1745820868.323,853.027,63.477,-48.828,943.359
1745820868.327,999.512,-22.949,-64.453,991.699
1745820868.284,999.512,-56.641,19.043,999.512
1745820868.288,270.02,-98.633,-34.18,135.254
1745820868.292,-1000.0,-75.684,-27.344,-1000.0
