timestamps,TP9,AF7,AF8,TP10
1741607701.75,903.32,932.617,-21.973,916.992
1741607701.754,907.227,907.227,171.875,902.832
1741607701.758,999.512,999.512,165.039,999.512
1741607701.75,903.32,932.617,-21.973,916.992
1741607701.754,907.227,907.227,171.875,902.832
1741607701.758,999.512,999.512,165.039,999.512
1741607701.76,222.656,387.207,114.746,540.527
1741607701.764,-1000.0,-991.211,109.375,-887.695
1741607701.768,-992.188,-1000.0,-5.859,-1000.0
1741607701.772,-905.273,-895.508,239.258,-879.883
1741607701.776,-1000.0,-1000.0,325.195,-1000.0
1741607701.78,-252.441,-205.566,431.641,-269.043
1741607701.784,999.512,999.512,719.238,999.512
1741607701.787,955.078,948.242,610.84,958.496
1741607701.791,936.523,941.406,567.383,936.035
1741607701.795,974.609,972.656,644.531,975.586
1741607701.799,903.809,907.227,781.738,904.297
1741607701.803,999.512,999.512,907.715,999.512
1741607701.76,222.656,387.207,114.746,540.527
1741607701.764,-1000.0,-991.211,109.375,-887.695
1741607701.768,-992.188,-1000.0,-5.859,-1000.0
1741607701.772,-905.273,-895.508,239.258,-879.883
1741607701.776,-1000.0,-1000.0,325.195,-1000.0
1741607701.78,-252.441,-205.566,431.641,-269.043
1741607701.784,999.512,999.512,719.238,999.512
1741607701.787,955.078,948.242,610.84,958.496
1741607701.791,936.523,941.406,567.383,936.035
1741607701.795,974.609,972.656,644.531,975.586
1741607701.799,903.809,907.227,781.738,904.297
1741607701.803,999.512,999.512,907.715,999.512
1741607701.805,186.523,159.668,683.105,187.5
1741607701.809,-1000.0,-1000.0,427.734,-1000.0
1741607701.813,-999.023,-982.422,403.809,-998.535
1741607701.817,-899.414,-910.645,464.355,-903.809
1741607701.821,-1000.0,-1000.0,458.984,-1000.0
1741607701.825,-580.078,-246.094,459.473,-637.207
1741607701.829,860.84,999.512,695.801,793.457
1741607701.832,999.512,955.078,672.852,999.512
1741607701.836,910.645,937.5,159.668,909.18
1741607701.84,981.445,974.609,38.574,981.445
1741607701.844,977.539,969.238,334.961,979.98
1741607701.848,892.578,902.344,522.461,893.066
1741607701.805,186.523,159.668,683.105,187.5
1741607701.809,-1000.0,-1000.0,427.734,-1000.0
1741607701.813,-999.023,-982.422,403.809,-998.535
1741607701.817,-899.414,-910.645,464.355,-903.809
1741607701.821,-1000.0,-1000.0,458.984,-1000.0
1741607701.825,-580.078,-246.094,459.473,-637.207
1741607701.829,860.84,999.512,695.801,793.457
1741607701.832,999.512,955.078,672.852,999.512
1741607701.836,910.645,937.5,159.668,909.18
1741607701.84,981.445,974.609,38.574,981.445
1741607701.844,977.539,969.238,334.961,979.98
1741607701.848,892.578,902.344,522.461,893.066
1741607701.85,999.512,999.512,457.031,999.512
1741607701.854,414.551,217.773,342.773,471.68
1741607701.858,-979.004,-1000.0,53.711,-945.801
1741607701.862,-961.426,-926.27,-71.777,-973.145
1741607701.866,-1000.0,-1000.0,303.223,-1000.0
1741607701.87,-233.887,-228.027,610.352,-231.934
1741607701.874,999.512,999.512,752.93,999.512
1741607701.877,949.707,950.684,724.121,950.195
1741607701.881,953.613,954.102,432.129,952.637
1741607701.885,912.598,912.598,416.016,921.387
1741607701.889,999.512,999.512,770.508,999.512
1741607701.893,756.348,739.746,620.117,836.914
1741607701.85,999.512,999.512,457.031,999.512
1741607701.854,414.551,217.773,342.773,471.68
1741607701.858,-979.004,-1000.0,53.711,-945.801
1741607701.862,-961.426,-926.27,-71.777,-973.145
1741607701.866,-1000.0,-1000.0,303.223,-1000.0
1741607701.87,-233.887,-228.027,610.352,-231.934
1741607701.874,999.512,999.512,752.93,999.512
1741607701.877,949.707,950.684,724.121,950.195
1741607701.881,953.613,954.102,432.129,952.637
1741607701.885,912.598,912.598,416.016,921.387
1741607701.889,999.512,999.512,770.508,999.512
1741607701.893,756.348,739.746,620.117,836.914
1741607701.895,-666.992,-682.129,134.766,-550.781
1741607701.899,-1000.0,-1000.0,-332.031,-1000.0
1741607701.903,-950.684,-948.73,-485.84,-948.73
1741607701.907,-942.871,-943.359,-159.18,-945.312
1741607701.911,-1000.0,-1000.0,-84.961,-1000.0
1741607701.915,-642.09,-529.785,-155.273,-693.848
1741607701.919,803.711,876.953,172.363,733.887
1741607701.922,999.512,999.512,287.598,999.512
1741607701.926,906.738,916.016,-7.812,906.25
1741607701.93,981.445,980.957,-42.48,981.445
1741607701.934,981.445,977.051,7.812,980.957
1741607701.938,895.508,895.02,55.664,905.273
1741607701.941,999.512,999.512,104.004,999.512
1741607701.945,608.887,388.184,370.605,729.98
1741607701.949,-835.449,-988.281,566.406,-689.453
1741607701.953,-1000.0,-1000.0,390.137,-1000.0
1741607701.957,-940.918,-956.543,198.73,-937.012
1741607701.961,-1000.0,-1000.0,312.5,-1000.0
1741607701.965,-1000.0,-1000.0,625.0,-1000.0
1741607701.968,-1000.0,-998.535,551.27,-1000.0
1741607701.972,-937.5,-940.918,425.781,-937.5
1741607701.976,-1000.0,-1000.0,703.613,-1000.0
1741607701.98,-221.191,-183.594,949.707,-220.703
1741607701.984,999.512,999.512,966.309,999.512
1741607701.941,999.512,999.512,104.004,999.512
1741607701.945,608.887,388.184,370.605,729.98
1741607701.949,-835.449,-988.281,566.406,-689.453
1741607701.953,-1000.0,-1000.0,390.137,-1000.0
1741607701.957,-940.918,-956.543,198.73,-937.012
1741607701.961,-1000.0,-1000.0,312.5,-1000.0
1741607701.965,-1000.0,-1000.0,625.0,-1000.0
1741607701.968,-1000.0,-998.535,551.27,-1000.0
1741607701.972,-937.5,-940.918,425.781,-937.5
1741607701.976,-1000.0,-1000.0,703.613,-1000.0
1741607701.98,-221.191,-183.594,949.707,-220.703
1741607701.984,999.512,999.512,966.309,999.512
1741607701.985,949.707,945.312,961.426,950.684
1741607701.989,938.965,942.383,966.797,939.941
1741607701.993,973.145,972.656,970.215,973.633
1741607701.997,966.309,966.797,959.473,966.797
1741607702.001,974.121,976.074,930.664,973.145
1741607702.005,935.059,930.176,950.195,940.43
1741607702.009,959.473,975.586,958.496,950.684
1741607702.012,999.512,962.891,976.562,999.512
1741607702.016,-271.973,-349.121,657.715,-207.031
1741607702.02,-1000.0,-1000.0,210.449,-1000.0
1741607702.024,-936.523,-936.035,453.613,-941.895
1741607702.028,-1000.0,-1000.0,659.668,-1000.0
1741607702.03,-937.012,-932.617,546.387,-932.129
1741607702.034,-1000.0,-1000.0,424.316,-1000.0
1741607702.038,-233.887,-306.152,277.344,-330.566
1741607702.042,999.512,999.512,599.609,997.07
1741607702.046,952.148,964.844,750.488,969.238
1741607702.05,937.988,933.105,636.23,930.664
1741607702.054,985.84,982.422,521.973,989.746
1741607702.057,891.602,897.461,322.266,893.066
1741607702.061,999.512,999.512,274.414,999.512
1741607702.065,452.637,301.27,-81.055,477.539
1741607702.069,-970.703,-1000.0,-333.496,-945.801
1741607702.073,-984.375,-985.352,-270.996,-1000.0
1741607702.03,-937.012,-932.617,546.387,-932.129
1741607702.034,-1000.0,-1000.0,424.316,-1000.0
1741607702.038,-233.887,-306.152,277.344,-330.566
1741607702.042,999.512,999.512,599.609,997.07
1741607702.046,952.148,964.844,750.488,969.238
1741607702.05,937.988,933.105,636.23,930.664
1741607702.054,985.84,982.422,521.973,989.746
1741607702.057,891.602,897.461,322.266,893.066
1741607702.061,999.512,999.512,274.414,999.512
