id,Group,Task,Information,Gamma/Beta Ratio durPost,Beta/Alpha Ratio durEarthquake,Beta/Theta Ratio durEarthquake,Theta/Beta Ratio durEarthquake,Frontal Alpha Asymmetry durEarthquake,Frontal Alpha Asymmetry durPre,Alpha/Beta Ratio durPost,Theta/Beta Ratio durPost,Beta/Theta Ratio durPre,Alpha/Beta Ratio durPre,Beta/Theta Ratio durPost,Gamma/Beta Ratio durEarthquake,Beta/Alpha Ratio durPost,Frontal Alpha Asymmetry durPost,Theta/Beta Ratio durPre,Gamma/Beta Ratio durPre,Alpha/Beta Ratio durEarthquake,Beta/Alpha Ratio durPre
41,2,Book Task,Not Given,1.089655602,52.29240023,9.092194192,0.109984452,7.088804903,4.765816806,0.02301098,0.107029557,7.489899034,0.092776985,9.343213522,1.010255766,43.45751542,6.22450059,0.133513148,1.231787343,0.019123238,10.7785352
42,1,Book Task,Given,0.526824905,2.234021382,2.572396306,0.388742589,2.376136571,1.873948581,0.489482223,0.774151647,3.749050746,0.232375088,1.291736578,0.999385204,2.042975112,0.372845227,0.266734186,1.022431052,0.44762329,4.303387291
43,2,Book Task,Not Given,0.829187505,3.365507393,1.865408887,0.536075499,-0.533618365,1.687146963,0.095199221,0.360863853,2.273484224,0.067551339,2.771128202,4.54760485,10.50428764,3.643901969,0.439853503,3.302758807,0.297132017,14.8035556
44,1,Book Task,Given,0.814984965,9.949333268,6.336263114,0.157821729,0.781541004,0.523972193,0.045396939,0.135847422,8.909022042,0.053058839,7.361199665,0.563341483,22.02791682,0.649882442,0.112245766,0.57567987,0.100509248,18.84700099
45,2,Book Task,Not Given,2.846133991,3.81481568,1.810771271,0.552250865,5.544627783,6.894318808,0.037989409,0.097820469,15.21551501,0.046401504,10.22280934,10.96395179,26.32312572,4.829420425,0.065722389,5.062065042,0.262135863,21.55102572
46,3,No Task,Given,1.565385224,27.45687324,5.261509165,0.190059538,0.790413731,1.463367896,0.207833404,0.280245382,2.834763754,0.097747422,3.568301441,5.505149847,4.811546075,-0.464562515,0.352763082,7.481738089,0.036420753,10.23044883
47,4,No Task,Not Given,3.859750296,22.18111256,12.71309595,0.078659046,0.816102069,0.315688336,0.043068883,0.084328396,6.060838055,0.170231481,11.85840176,3.053858783,23.21861938,3.975561065,0.164993684,13.03349393,0.045083401,5.874354095
48,3,No Task,Given,6.481213514,17.84517671,7.810832868,0.12802732,0.222932678,0.461346985,0.246785528,0.93104086,1.533219757,0.300130599,1.074066717,3.534471045,4.052101459,-2.179122428,0.652222224,6.769474603,0.056037551,3.331882863
49,4,No Task,Not Given,2.971475419,7.857548863,3.785065716,0.264196206,1.36764225,3.133065467,0.085749757,0.087338145,3.058417679,0.427755535,11.44975089,2.581655615,11.66184064,-5.268727196,0.326966459,7.217869232,0.127266151,2.337783894
50,4,No Task,Not Given,4.834484847,9.687695497,3.26120327,0.306635287,-2.248948909,-2.954249644,0.056884277,0.15528686,2.245099928,0.129083454,6.439694901,6.88228806,17.57955017,-0.964083386,0.445414472,7.644913906,0.103223723,7.74692624
51,3,No Task,Given,3.999651519,13.14381999,10.22034605,0.097844045,0.173414571,1.404078567,0.158677633,0.348364603,2.901133457,0.170979684,2.870555713,4.11959671,6.302085419,0.023478471,0.344692864,12.13570573,0.076081383,5.848648061
52,3,No Task,Given,5.770877425,10.17942502,1.576171703,0.634448644,1.769723108,-0.027622955,0.068905055,0.162842568,1.912666515,0.1812847,6.14090045,13.54222939,14.51272336,1.376211349,0.522830296,23.15674663,0.098237376,5.516185322
53,4,No Task,Not Given,0.525682573,27.4122528,11.38335427,0.087847569,3.07601199,3.406782667,0.029514016,0.075555432,9.663429463,0.017116661,13.23531575,0.584942356,33.88220682,4.639313923,0.103482931,1.428246272,0.036480037,58.4226102
54,3,No Task,Given,17.98967939,11.67307437,3.951979106,0.253037775,3.050594716,2.203267319,0.072147225,0.216003506,3.244993572,0.05847494,4.629554495,10.22007677,13.86054696,2.762461717,0.30816702,14.25567352,0.085667235,17.10134299
55,4,No Task,Not Given,13.74311312,6.251268045,3.441667619,0.29055682,2.405833159,1.012473564,0.117351746,0.437860174,3.468044124,0.07651992,2.283834106,8.564941135,8.52139003,2.638767539,0.288346966,10.67844465,0.159967545,13.06849241
56,3,No Task,Given,2.957351139,32.54289158,16.57226363,0.060341787,4.720160624,3.735678038,0.139402418,0.256017853,24.69485171,0.02063658,3.905977604,0.072604032,7.173476709,1.004125172,0.04049427,0.270990334,0.030728677,48.45764131
57,4,No Task,Not Given,0.804791655,12.45917351,8.853582741,0.112948625,4.102748872,2.9034809,0.116984701,0.258731367,11.57976597,0.026497783,3.865012633,0.263072196,8.548126273,4.439173209,0.086357531,0.357526299,0.080262146,37.73900607
58,3,No Task,Given,0.953478472,24.32213255,12.92844311,0.077348834,-1.214719951,-0.297654047,0.030928344,0.162266249,4.192801976,0.111890669,6.162711017,0.292193261,32.33280176,-0.165587035,0.23850399,0.280418269,0.041114816,8.937295747
