ID,Group,Task,Information,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,ItemsPickedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,BooksPlacedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsObservedAfterEarthquake,CoverAttempts,AverageDurationInTableCover,Total Duration In table Cover,Total Duration In table Cover Before Earthquake,Total Duration In table Cover During Earthquake,Total Duration In table Cover After Earthquake,SittingTransitions,AverageSeatedDuration,Total Seated Duration,Total Seated Duration Before Earthquake,Total Seated Duration During Earthquake,Total Seated Duration After Earthquake
28_B22104,Group 1,Book Task,Given,4,3,4,3.0,3.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
14_B22129,Group 2,Book Task,Not Given,5,4,15,2.0,2.0,7.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,1.5571428571428572,10.9,4.509,6.391,0.0
11_B22214,Group 1,Book Task,Given,3,2,4,2.0,1.0,2.0,0.0,0.0,0.0,1,3.265,3.265,0.0,0.0,3.265,0,0.0,0.0,0.0,0.0,0.0
48_B22127,Group 3,No Task,Given,11,0,24,0.0,0.0,0.0,7.0,0.0,14.0,1,48.253,48.253,0.0,42.734,5.519,8,6.6715,53.372,0.0,45.074,8.298
18_B22119,Group 2,Book Task,Not Given,6,4,4,7.0,3.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7,0.6365714285714286,4.456,3.357,0.0,1.099
23_B22084,Group 2,Book Task,Not Given,3,3,3,3.0,2.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
56_B22231,Group 3,No Task,Given,3,3,2,0.0,0.0,0.0,3.0,0.0,2.0,1,41.579,41.579,0.0,41.579,0.0,8,6.38475,51.078,0.0,48.979,2.099
75_B22101,Group 4,No Task,Not Given,3,3,16,0.0,0.0,0.0,1.0,1.0,2.0,1,0.621,0.621,0.0,0.0,0.621,9,4.511888888888889,40.607,38.224,2.383,0.0
42_B21121,Group 1,Book Task,Given,6,9,7,3.0,2.0,4.0,0.0,0.0,0.0,3,11.527666666666667,34.583,0.0,31.495,3.088,28,1.4870714285714286,41.638,0.0,36.65,4.988
50_B22039,Group 4,No Task,Not Given,6,3,7,0.0,0.0,0.0,4.0,2.0,4.0,1,1.776,1.776,0.0,0.0,1.776,0,0.0,0.0,0.0,0.0,0.0
7_B22290,Group 1,Book Task,Given,3,2,4,2.0,2.0,4.0,0.0,0.0,0.0,2,10.332,20.664,0.0,17.8,2.864,8,3.001,24.008,0.0,20.276,3.732
6_B21183,Group 2,Book Task,Not Given,7,9,10,3.0,1.0,3.0,0.0,0.0,0.0,2,4.224,8.448,1.266,2.674,4.508,0,0.0,0.0,0.0,0.0,0.0
34_B21088,Group 2,Book Task,Not Given,5,3,3,5.0,2.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
61_B22102,Group 4,No Task,Not Given,2,7,10,0.0,0.0,0.0,1.0,3.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
72_B22138,Group 3,No Task,Given,7,0,12,0.0,0.0,0.0,2.0,1.0,7.0,1,0.734,0.734,0.734,0.0,0.0,2,20.247,40.494,0.0,38.471,2.023
36_B22124,Group 2,Book Task,Not Given,8,7,5,4.0,6.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
27_B22208,Group 2,Book Task,Not Given,4,3,4,3.0,3.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
