ID,Group,Task,Information,AverageDurationInTableCover,AverageSeatedDuration,BooksPlacedAfterEarthquake,BooksPlacedBeforeEarthquake,BooksPlacedDuringEarthquake,CoverAttempts,ItemsObservedAfterEarthquake,ItemsObservedBeforeEarthquake,ItemsObservedDuringEarthquake,ItemsPickedAfterEarthquake,ItemsPickedBeforeEarthquake,ItemsPickedDuringEarthquake,SittingTransitions,TimeNearCornerAfterEarthquake,TimeNearCornerBeforeEarthquake,TimeNearCornerDuringEarthquake,TimeNearWallAfterEarthquake,TimeNearWallBeforeEarthquake,TimeNearWallDuringEarthquake,TotalDurationInTableCover,TotalDurationInTableCoverAfterEarthquake,TotalDurationInTableCoverBeforeEarthquake,TotalDurationInTableCoverDuringEarthquake,TotalSeatedDuration,TotalSeatedDurationAfterEarthquake,TotalSeatedDurationBeforeEarthquake,TotalSeatedDurationDuringEarthquake,TotalTimeNearCorner,TotalTimeNearWall
72_B22138,Group 3,No Task,Given,0.734,20.247,0.0,0.0,0.0,1,7.0,2.0,1.0,12,7,0,2,0.0,0.0,0.0,0.002,0.0,0.0,0.734,0.0,0.734,0.0,40.494,2.023,0.0,38.471,0.0,0.002
53_B22011,Group 4,No Task,Not Given,0.0,2.3275,0.0,0.0,0.0,0,0.0,2.0,1.0,0,2,2,2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.655,0.0,0.0,4.655,0.0,0.6
48_B22127,Group 3,No Task,Given,48.253,6.6715,0.0,0.0,0.0,1,14.0,7.0,0.0,24,11,0,8,0.0,0.0,0.0,51.356,0.0,0.499,48.253,5.519,0.0,42.734,53.372,8.298,0.0,45.074,0.0,51.855
73_B20001,Group 4,No Task,Not Given,0.0,7.609,0.0,0.0,0.0,0,4.0,1.0,0.0,6,5,0,1,0.0,0.0,0.0,0.0,17.119,12.389,0.0,0.0,0.0,0.0,7.609,7.609,0.0,0.0,0.0,29.508
10_B22133,Group 2,Book Task,Not Given,23.61733333333333,10.339222222222222,0.0,1.0,1.0,3,0.0,0.0,0.0,0,3,0,9,0.0,0.0,2.315,66.536,14.029,29.738,70.852,66.499,0.0,4.353,93.053,75.104,0.0,17.949,2.315,110.303
35_B21177,Group 1,Book Task,Given,36.261,8.2086,7.0,5.0,1.0,1,0.0,0.0,0.0,12,9,3,5,0.0,0.0,0.0,3.545,8.813,0.113,36.261,0.0,0.0,36.261,41.043,1.688,0.0,39.355,0.0,12.471
43_B22145,Group 2,Book Task,Not Given,0.0,1.687,3.0,7.0,2.0,0,0.0,0.0,0.0,3,8,6,1,0.0,0.0,0.0,11.405,0.001,0.013,0.0,0.0,0.0,0.0,1.687,1.687,0.0,0.0,0.0,11.419
66_B22114,Group 4,No Task,Not Given,44.601,16.7285,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,4,0.0,0.0,0.0,0.0,4.965,9.783,44.601,44.601,0.0,0.0,66.914,66.914,0.0,0.0,0.0,14.748
65_IM24011,Group 3,No Task,Given,7.2185,4.64975,0.0,0.0,0.0,2,0.0,1.0,0.0,2,3,1,16,6.818,0.0,0.0,40.344,2.342,12.89,14.437,3.263,0.0,11.174,74.396,35.454,0.957,37.985,6.818,55.576
60_B22153,Group 3,No Task,Given,0.0,7.089600000000001,0.0,0.0,0.0,0,1.0,1.0,1.0,12,4,0,10,0.0,0.0,0.0,19.377,0.005,37.743,0.0,0.0,0.0,0.0,70.896,31.174,0.0,39.722,0.0,57.125
